С-т пустой без подвесок с 0 кг топл.;18740;11.943
Масло в двигателях и ВСУ;39.3;15.275
Лётчик;90;4.02
Азот пневмосистемы;6.1;9.974
Азот системы фонаря;0.5;4.81
Азот в баллонах ВСУ;4.4;13.48
Бортпаёк;4;4.27
Слив. остатки невыраб-емого топлива;136;11.999
;;
150 патронов к ННПУ-35 ;140;7.78
Звенья после отстрела ННПУ-35;15;7.78
Патроны к УВ-50, 84 шт.;84;16.76
;;
Заправка полная 11202 кг топл.;11202;11.126
часть из бака №1;-1892;8.724
всё из бака №6;-473;15.743
часть из бака №1;-895;8.733
всё из бака №5;-335;17.929
часть из бака №1;-628;8.704
всё из бака №4;-375;16.393
часть из бака №1;-474;8.833
часть из бака №2;-71;10.266
всё из бака №3;-1303;12.928
часть из бака №2;-938;11.155
часть из бака №2;-1075;11.985
часть из бака №2 до ост.400 л;-952;12.094
всё из бака №1а;-607;7.417
всё из бака №2-без расх.отсека;-314;12.429
всё из бака № 2РО (где ещё 1 кг);-869;11.703
;;
Основная заправка с 6077 кг топлива ;6077;11.588
часть из бака №2;-19;10.436
всё из бака №3;-1303;12.928
часть из бака №2;-938;11.155
часть из бака №2;-1075;11.985
часть из бака №2 до ост.400 л;-952;12.094
всё из бака №1а;-607;7.417
всё из бака №2-без расх.отсека;-314;12.429
всё из бака № 2РО;-869;11.703
